ts_code,removed
605099.SH,FALSE
605077.SH,FALSE
603993.SH,FALSE
603986.SH,FALSE
603983.SH,FALSE
603939.SH,FALSE
603927.SH,FALSE
603899.SH,FALSE
603893.SH,FALSE
603885.SH,FALSE
603881.SH,FALSE
603871.SH,FALSE
603858.SH,FALSE
603848.SH,FALSE
603833.SH,FALSE
603826.SH,FALSE
603816.SH,FALSE
603806.SH,FALSE
603799.SH,FALSE
603737.SH,FALSE
603728.SH,FALSE
603719.SH,FALSE
603666.SH,FALSE
603662.SH,FALSE
603659.SH,FALSE
603650.SH,FALSE
603606.SH,FALSE
603605.SH,FALSE
603533.SH,FALSE
603529.SH,FALSE
603516.SH,FALSE
603501.SH,FALSE
603486.SH,FALSE
603456.SH,FALSE
603444.SH,FALSE
603416.SH,FALSE
603392.SH,FALSE
603383.SH,FALSE
603360.SH,FALSE
603341.SH,FALSE
603338.SH,FALSE
603326.SH,FALSE
603306.SH,FALSE
603298.SH,FALSE
603297.SH,FALSE
603296.SH,FALSE
603290.SH,FALSE
603288.SH,FALSE
603277.SH,FALSE
603267.SH,FALSE
603260.SH,FALSE
603258.SH,FALSE
603259.SH,FALSE
603256.SH,FALSE
603236.SH,FALSE
603233.SH,FALSE
603232.SH,FALSE
603228.SH,FALSE
603227.SH,FALSE
603195.SH,FALSE
603194.SH,FALSE
603171.SH,FALSE
603127.SH,FALSE
603124.SH,FALSE
603119.SH,FALSE
603103.SH,FALSE
603087.SH,FALSE
603083.SH,FALSE
603078.SH,FALSE
603057.SH,FALSE
603056.SH,FALSE
603040.SH,FALSE
603039.SH,FALSE
603019.SH,FALSE
603005.SH,FALSE
601995.SH,FALSE
601985.SH,FALSE
601933.SH,FALSE
601928.SH,FALSE
601921.SH,FALSE
601916.SH,FALSE
601899.SH,FALSE
601888.SH,FALSE
601877.SH,FALSE
601869.SH,FALSE
601865.SH,FALSE
601858.SH,FALSE
601766.SH,FALSE
600118.SH,FALSE
601689.SH,FALSE
601688.SH,FALSE
601669.SH,FALSE
601668.SH,FALSE
601633.SH,FALSE
601618.SH,FALSE
601611.SH,FALSE
601606.SH,FALSE
601579.SH,FALSE
601519.SH,FALSE
601390.SH,FALSE
601360.SH,FALSE
601168.SH,FALSE
601138.SH,FALSE
601100.SH,FALSE
601066.SH,FALSE
601021.SH,FALSE
601016.SH,FALSE
601012.SH,FALSE
600986.SH,FALSE
600977.SH,FALSE
600967.SH,FALSE
600958.SH,FALSE
600941.SH,FALSE
600930.SH,FALSE
600905.SH,FALSE
600900.SH,FALSE
600895.SH,FALSE
600893.SH,FALSE
600884.SH,FALSE
600879.SH,FALSE
600877.SH,FALSE
600873.SH,FALSE
600867.SH,FALSE
600862.SH,FALSE
600845.SH,FALSE
600797.SH,FALSE
600795.SH,FALSE
600787.SH,FALSE
600773.SH,FALSE
600771.SH,FALSE
600763.SH,FALSE
600761.SH,FALSE
600760.SH,FALSE
600750.SH,FALSE
600745.SH,FALSE
600741.SH,FALSE
600732.SH,FALSE
600728.SH,FALSE
600720.SH,FALSE
600707.SH,FALSE
600704.SH,FALSE
600703.SH,FALSE
600699.SH,FALSE
600690.SH,FALSE
600685.SH,FALSE
600682.SH,FALSE
600674.SH,FALSE
600673.SH,FALSE
600663.SH,FALSE
600662.SH,FALSE
600660.SH,FALSE
600645.SH,FALSE
600633.SH,FALSE
600611.SH,FALSE
600602.SH,FALSE
600601.SH,FALSE
600600.SH,FALSE
600598.SH,FALSE
600596.SH,FALSE
600588.SH,FALSE
600584.SH,FALSE
600580.SH,FALSE
600577.SH,FALSE
600570.SH,FALSE
600536.SH,FALSE
600522.SH,FALSE
600518.SH,FALSE
600516.SH,FALSE
600482.SH,FALSE
600460.SH,FALSE
600458.SH,FALSE
600446.SH,FALSE
600438.SH,FALSE
600436.SH,FALSE
600418.SH,FALSE
