ts_code,freq,quantile,pct_gain_1p,pct_gain_2p,pct_gain_3p,pct_gain_5p,pct_loss_1p,pct_loss_2p,pct_loss_3p,pct_loss_5p,top_or_bottom,period
000006.SZ,D,0.9,22.408,36.744,56.772,84.974,-1.148,-1.81,-2.478,-3.266,T,34
000007.SZ,D,0.1,0.372,0.988,1.52,2.482,-19.988,-29.224,-36.656,-47.292,B,34
000007.SZ,D,0.25,2.8,4.195,5.04,6.81,-12.48,-19.145,-22.96,-29.72,B,34
000007.SZ,D,0.5,7.46,11.03,13.89,18.96,-5.28,-8.82,-12.27,-17.86,B,34
000007.SZ,D,0.75,17.045,23.96,30.1,43.075,-0.91,-2.51,-3.98,-6.81,B,34
000007.SZ,D,0.9,31.786,46.08,60.104,74.508,0,0,0,-0.638,B,34
000007.SZ,D,0.1,0,0,0,0,-23.01,-32.02,-38.51,-48.17,T,34
000007.SZ,D,0.25,0.115,1.6,2.72,4.165,-15.155,-21.335,-25.16,-31.385,T,34
000007.SZ,D,0.5,4.45,7.62,10.53,15.54,-8.02,-11.5,-14.79,-19.37,T,34
000007.SZ,D,0.75,13.09,19.63,25.215,38.065,-3.49,-5.505,-6.84,-9.26,T,34
000007.SZ,D,0.9,25.56,40.21,53.95,70.05,-1.07,-1.91,-2.47,-3.33,T,34
000008.SZ,D,0.1,0.498,1.05,1.74,2.426,-19.99,-28.732,-34.49,-46.36,B,34
000008.SZ,D,0.25,2.55,3.66,4.81,6.42,-10.85,-17.45,-20.54,-26.71,B,34
000008.SZ,D,0.5,6.55,10.5,12.94,18.95,-4.82,-8.78,-11.43,-14.9,B,34
000008.SZ,D,0.75,15.76,25,34.1,48.62,-0.69,-2.18,-3.74,-6.58,B,34
000008.SZ,D,0.9,29.262,48.59,62.172,91.742,0,0,0,-0.55,B,34
000008.SZ,D,0.1,0,0,0,0,-22.24,-31.638,-38.21,-48.1,T,34
000008.SZ,D,0.25,0.09,0.93,1.99,3.225,-13.65,-20.15,-23.65,-29.76,T,34
