ts_code,freq,quantile,pct_gain_1p,pct_gain_2p,pct_gain_3p,pct_gain_5p,pct_loss_1p,pct_loss_2p,pct_loss_3p,pct_loss_5p,top_or_bottom,period
000008.SZ,M,0.75,95.085,189.74,355.705,542.14,-14.4,-16.76,-18.22,-19.955,T,610
000008.SZ,M,0.9,251,680.378,927.442,1270.34,-5.558,-8.278,-11.314,-11.846,T,610
000009.SZ,M,0.1,3.948,10.196,13.316,15.66,-56.648,-66.884,-71.206,-72.64,B,610
000009.SZ,M,0.25,12.44,20.68,41.66,69.905,-44.705,-56.955,-60.215,-64.015,B,610
000009.SZ,M,0.5,42.77,103.91,137.99,230.51,-26.07,-35.81,-39.53,-45.36,B,610
000009.SZ,M,0.75,126,262.44,273.72,408.775,-5.81,-13.12,-16.98,-23.385,B,610
000009.SZ,M,0.9,267.264,493.136,518.448,603.526,0,0,-0.342,-2.196,B,610
000009.SZ,M,0.1,0,0,0,2.734,-63.766,-72.317,-77.843,-78.942,T,610
000009.SZ,M,0.25,0,6.3425,19.0125,49.085,-56.2825,-63.34,-68.04,-70.315,T,610
000009.SZ,M,0.5,15.325,60.615,112.55,172.09,-35.8,-49.18,-56.225,-57.635,T,610
000009.SZ,M,0.75,89.2775,182.655,227.98,394.8225,-18.33,-21.755,-30.225,-33.935,T,610
000009.SZ,M,0.9,227.655,341.964,426.343,528.442,-6.103,-7.737,-14.982,-17.614,T,610
000010.SZ,M,0.1,3.117,3.442,3.442,3.442,-58.306,-79.388,-93.065,-94.061,B,610
000010.SZ,M,0.25,9.99,14.4425,14.4425,14.4425,-41.405,-59.885,-63.8825,-91.52,B,610
000010.SZ,M,0.5,37.305,43.52,43.52,43.785,-23.735,-36.03,-51.925,-63.27,B,610
000010.SZ,M,0.75,79.45,119.775,126.705,141.06,-4.025,-12.675,-25.085,-47.82,B,610
000010.SZ,M,0.9,226.029,286.801,410.643,629.44,0,0,0,0,B,610
000010.SZ,M,0.1,0,0,0,0,-73.186,-84.884,-93.28,-94.522,T,610
000010.SZ,M,0.25,2.5525,4.195,4.4975,6.535,-50.6175,-66.285,-71.05,-91.845,T,610
000010.SZ,M,0.5,16.495,24.125,26.005,34.995,-32.15,-38.205,-54.665,-65.485,T,610
000010.SZ,M,0.75,58.7125,97.08,124.4075,166.2825,-13.195,-19.765,-32.1475,-51.0675,T,610
000010.SZ,M,0.9,151.606,218.158,263.475,583.433,-0.927,-10.502,-11.379,-14.623,T,610
000011.SZ,M,0.1,3.142,7.534,12.63,20.364,-54.086,-65.824,-67.984,-68.998,B,610
000011.SZ,M,0.25,16.415,28.91,58.675,67.86,-36.815,-45.935,-48.365,-52.875,B,610
000011.SZ,M,0.5,38.02,99.53,129.22,146.2,-16.14,-28.94,-34.36,-36.72,B,610
000011.SZ,M,0.75,96.56,201.855,210.78,237.95,-0.325,-8.11,-15.275,-16.57,B,610
000011.SZ,M,0.9,177.318,233.894,277.67,344.18,0,0,0,-1.08,B,610
000011.SZ,M,0.1,0,0.027,0.715,3.532,-60.386,-71.876,-73.46,-76.614,T,610
000011.SZ,M,0.25,1.055,14.5525,28.0625,31.95,-43.66,-54.7125,-55.615,-59.5475,T,610
000011.SZ,M,0.5,22.165,55.565,75.805,107.415,-29.07,-34.3,-41.585,-42.375,T,610
000011.SZ,M,0.75,70.455,147.5475,170.7125,213.5875,-14.5725,-18.0675,-23.98,-24.57,T,610
000011.SZ,M,0.9,175.665,205.112,214.493,301.825,-6.564,-11.697,-14.005,-14.581,T,610
000012.SZ,M,0.1,2.279,6.399,8.972,8.972,-58.225,-65.64,-67.719,-78.398,B,610
000012.SZ,M,0.25,12.065,37.85,78.22,83.085,-39.48,-50.8525,-54.7025,-56.3075,B,610
000012.SZ,M,0.5,45.35,130.34,148.425,165,-19.23,-27.35,-36.545,-37.99,B,610
000012.SZ,M,0.75,122.585,283.695,324.0625,436.61,-3.1,-9.74,-13.5925,-15.9125,B,610
000012.SZ,M,0.9,303.155,441.397,516.463,858.724,0,0,0,-0.12,B,610
000012.SZ,M,0.1,0,0,0,0,-65.284,-66.804,-73.916,-79.804,T,610
000012.SZ,M,0.25,0.9875,6.65,42.22,58.9225,-48.6775,-60.9875,-65.455,-65.7375,T,610
000012.SZ,M,0.5,12.185,96.41,109.23,145.94,-27.425,-45.06,-47.66,-48.975,T,610
000012.SZ,M,0.75,89.1325,188.9075,279.71,349.415,-19.3125,-23.1875,-24.77,-29.47,T,610
000012.SZ,M,0.9,285.678,322.85,460.315,784.001,-10.744,-12.167,-14.128,-14.128,T,610
000014.SZ,M,0.1,3.817,4.744,18.597,22.059,-53.935,-62.698,-65.052,-76.191,B,610
000014.SZ,M,0.25,28.3975,37.55,50.125,58.29,-40.34,-52.385,-57.855,-60.255,B,610
000014.SZ,M,0.5,52.965,84.59,102.255,138.695,-16.8,-26.005,-30.34,-36.32,B,610
000014.SZ,M,0.75,104.5725,159.4925,205.94,251.69,-2.515,-8.0475,-9.8925,-16.03,B,610
000014.SZ,M,0.9,215.711,277.348,435.49,441.373,0,0,0,0,B,610
000014.SZ,M,0.1,0,0,0,1.388,-64.216,-70.154,-72.272,-79.488,T,610
000014.SZ,M,0.25,3.01,11.52,13.22,24.46,-46.57,-57.38,-63.81,-68.95,T,610
000014.SZ,M,0.5,31.97,55.31,83.97,93.69,-27.21,-35.13,-37.23,-48.51,T,610
000014.SZ,M,0.75,70.67,140.35,164.17,209.25,-14.42,-18.51,-19.27,-25.35,T,610
000014.SZ,M,0.9,133.116,315.528,390.78,449.04,-4.046,-10.596,-10.596,-11.6,T,610
000016.SZ,M,0.1,6.984,11.628,31.112,31.112,-58.536,-75.934,-78.432,-87.57,B,610
000016.SZ,M,0.25,18.025,38.98,59.565,69.365,-44.295,-55.715,-64.56,-65.05,B,610
000016.SZ,M,0.5,43.36,85.21,119.77,163,-21.3,-38.32,-49.65,-52.24,B,610
000016.SZ,M,0.75,112.045,243.12,342.885,372.32,-5.04,-10.58,-15.605,-29.46,B,610
000016.SZ,M,0.9,222.77,665.324,670.82,675.028,0,0,0,-4.97,B,610
000016.SZ,M,0.1,0,0,4.908,9.422,-57.034,-78.414,-83.94,-90.512,T,610
000016.SZ,M,0.25,0.1,10.09,33.98,42.8,-47.68,-63.46,-69.56,-71.8,T,610
000016.SZ,M,0.5,16.76,50.16,85.65,126.08,-33.03,-46.45,-55.41,-58.18,T,610
000016.SZ,M,0.75,55.02,126.08,252.39,273.93,-14.74,-26.25,-26.55,-38.39,T,610
000016.SZ,M,0.9,167.552,567.578,581.5,581.5,-3.56,-7.412,-8.894,-11.458,T,610
000017.SZ,M,0.1,1.454,4.478,6.1,21.616,-59.752,-70.796,-78.63,-81.696,B,610
000017.SZ,M,0.25,11.55,21.37,24.11,62.895,-48.92,-62.14,-66.73,-73.445,B,610
000017.SZ,M,0.5,30.02,65.62,151.48,170.6,-28.97,-44.31,-45.08,-50.63,B,610
000017.SZ,M,0.75,84.465,175.9,295.75,318.11,-1.45,-4.335,-9.01,-13.09,B,610
000017.SZ,M,0.9,173.994,315.684,402.614,402.762,0,0,0,0,B,610
000017.SZ,M,0.1,0,0,0,0.597,-63.13,-76.61,-81.737,-85.142,T,610
000017.SZ,M,0.25,0,0.7875,2.7275,42.2275,-52.7475,-67.8825,-71.8025,-78.2575,T,610
000017.SZ,M,0.5,15.045,32.515,109.52,123.84,-36.47,-45.09,-50.655,-59,T,610
000017.SZ,M,0.75,72.83,140.3,246.04,250.625,-11.385,-13.065,-15.305,-21.99,T,610
000017.SZ,M,0.9,162.051,253.072,369.016,369.016,-4.388,-4.492,-4.492,-5.412,T,610
000019.SZ,M,0.1,0.9,6.17,7.63,9.58,-66.72,-70.39,-76.34,-76.34,B,610
000019.SZ,M,0.25,10.495,12.715,19.21,38.715,-37.86,-59.76,-59.76,-68.695,B,610
000019.SZ,M,0.5,27.45,58.28,67.08,99.72,-17.9,-22.11,-28.62,-40.4,B,610
000019.SZ,M,0.75,104.465,195.72,255.145,255.145,0,-7.325,-9.6,-10.94,B,610
000019.SZ,M,0.9,220.75,348.6,432.53,551.92,0,0,0,0,B,610
000019.SZ,M,0.1,0,0,0,1.745,-61.783,-70.098,-76.798,-77.011,T,610
000019.SZ,M,0.25,3.705,9.0025,12.0525,23.6475,-41.4725,-61.3675,-61.9675,-68.595,T,610
000019.SZ,M,0.5,18.025,41.365,52.455,72.495,-24.87,-31.75,-38.8,-44.305,T,610
000019.SZ,M,0.75,87.3125,172.6525,246.1075,267.8,-11.3525,-16.25,-18.6125,-19.5875,T,610
000019.SZ,M,0.9,209.868,330.68,379.255,387.325,-1.777,-3.267,-9.353,-9.711,T,610
000020.SZ,M,0.1,1.554,1.62,10.928,20.834,-63.804,-76.352,-81.388,-81.388,B,610
000020.SZ,M,0.25,14.97,20.43,30.63,44.015,-44.365,-52.72,-58.565,-69.775,B,610
000020.SZ,M,0.5,30.89,61.89,89.6,139.28,-13.95,-23.78,-26.76,-33.04,B,610
000020.SZ,M,0.75,81.06,239.68,305.125,384.525,0,-8.82,-11.375,-12.945,B,610
000020.SZ,M,0.9,220.102,403.554,471.36,526.146,0,0,0,0,B,610
000020.SZ,M,0.1,0,0,0,0.54,-67.894,-78.044,-82.222,-83.978,T,610
000020.SZ,M,0.25,0,1.35,19.18,30.89,-49.96,-59.39,-65.21,-73.33,T,610
000020.SZ,M,0.5,16.51,68.71,87.14,162.26,-26.46,-35.89,-36.4,-46.54,T,610
000020.SZ,M,0.75,92.12,200.3,272.37,346.04,-13.58,-17.53,-17.61,-17.82,T,610
000020.SZ,M,0.9,201.434,377.976,405.056,458.678,-3.774,-9.254,-10.194,-12.296,T,610
000021.SZ,M,0.1,3.919,12.261,18.177,21.88,-51.989,-64.336,-77.11,-84.765,B,610
000021.SZ,M,0.25,15.705,39.3775,65.1,65.1,-36.175,-49.2625,-50.185,-56.855,B,610
000021.SZ,M,0.5,69.48,124.645,137.08,149.45,-19.615,-33.58,-35.23,-37.55,B,610
000021.SZ,M,0.75,140.9025,194.1225,216.685,305.405,-0.37,-12.635,-12.845,-14.215,B,610
000021.SZ,M,0.9,279.734,432.486,435.614,480.829,0,0,0,0,B,610
000021.SZ,M,0.1,0,0,0,0.511,-69.57,-77.335,-81.576,-87.865,T,610
000021.SZ,M,0.25,0,23.0425,41.2925,41.2925,-50.22,-62.32,-67.7875,-78.45,T,610
000021.SZ,M,0.5,30.285,74.49,85.73,89.76,-35.49,-45.615,-48.61,-50.68,T,610
000021.SZ,M,0.75,94.3025,157.615,178.4875,203.0675,-12.3175,-24.405,-27.765,-34.89,T,610
000021.SZ,M,0.9,185.23,234.252,260.965,404.832,-6.697,-9.016,-11.171,-11.171,T,610
000023.SZ,M,0.1,0,0.624,0.91,0.91,-68.272,-82.998,-85.996,-87.456,B,610
000023.SZ,M,0.25,3.86,10.88,32.71,34.09,-47.68,-69.71,-76.11,-84.09,B,610
000023.SZ,M,0.5,34.09,63.38,118.48,156.38,-29.3,-35.78,-49.16,-69.92,B,610
000023.SZ,M,0.75,118.48,267.65,276.35,351.66,-6.56,-10.65,-23.87,-24.9,B,610
000023.SZ,M,0.9,220.508,452.202,492.366,530.474,0,0,-1.35,-1.35,B,610
000023.SZ,M,0.1,0,0,0,0.375,-67.819,-77.925,-87.013,-89.375,T,610
000023.SZ,M,0.25,0,7.3025,16.2275,18.035,-50.4125,-68.7075,-77.2925,-86.1075,T,610
000023.SZ,M,0.5,16.415,34.685,63.485,118.465,-35.365,-41.925,-56.4,-74.385,T,610
000023.SZ,M,0.75,62.7,143.505,220.5175,293.5025,-14.5575,-19.8175,-35.565,-37.2825,T,610
000023.SZ,M,0.9,181.889,345.18,387.198,418.75,-6.273,-6.806,-6.806,-13.009,T,610
000025.SZ,M,0.1,8.33,8.76,16.9,21.43,-52.76,-68.38,-77.19,-78.23,B,610
000025.SZ,M,0.25,20.54,23.36,40.93,59.04,-35.61,-52.16,-59.78,-68.38,B,610
000025.SZ,M,0.5,41.57,67.62,113.12,143.14,-22.82,-27.92,-33.92,-39.55,B,610
000025.SZ,M,0.75,97.14,213.19,359.27,579.78,-8.59,-16.04,-18.73,-22.73,B,610
000025.SZ,M,0.9,282.09,681.33,771.2,982.28,0,0,0,0,B,610
000025.SZ,M,0.1,0,0,0,1.788,-63.648,-73.472,-78.618,-82.008,T,610
000025.SZ,M,0.25,1.7,8.89,14.21,28.9,-46.17,-60,-65.24,-76.49,T,610
000025.SZ,M,0.5,21.8,48.32,68.71,109.81,-30.03,-40.12,-47.56,-50.66,T,610
000025.SZ,M,0.75,70,195.5,266.92,484.37,-20.49,-23.14,-25.69,-27.34,T,610
000025.SZ,M,0.9,216.416,636.126,644.996,707.626,-9.14,-12.892,-17.484,-21.31,T,610
000026.SZ,M,0.1,1.346,7.988,9.995,9.995,-64.472,-67.271,-74.843,-80.904,B,610
000026.SZ,M,0.25,10.625,28.8425,46.5375,46.5375,-37.13,-48.3775,-51.345,-65.3475,B,610
000026.SZ,M,0.5,38.325,80.26,104.025,107.16,-16.15,-29.5,-33.045,-36.795,B,610
000026.SZ,M,0.75,102.5275,168.3325,209.705,243.515,-1.2075,-8.205,-13.2475,-13.7925,B,610
000026.SZ,M,0.9,212.135,272.158,389.822,481.088,0,0,0,0,B,610
