ts_code,freq,quantile,pct_gain_1p,pct_gain_2p,pct_gain_3p,pct_gain_5p,pct_loss_1p,pct_loss_2p,pct_loss_3p,pct_loss_5p,top_or_bottom,period
000011.SZ,W,0.1,1.916,2.97,5.383,6.415,-32.905,-44.381,-52.675,-61.896,B,144
000011.SZ,W,0.25,6.2475,10.59,15.285,17.43,-20.5275,-30.495,-36.4575,-44.75,B,144
000011.SZ,W,0.5,17.79,25.98,32.33,51.37,-11.155,-15.65,-19.29,-25.595,B,144
000011.SZ,W,0.75,37.2975,56.605,71.19,121.0975,-1.5275,-4.87,-7.28,-11.3625,B,144
000011.SZ,W,0.9,68.125,106.551,173.032,224.585,0,0,0,-0.791,B,144
000011.SZ,W,0.1,0,0,0,0.181,-38.928,-50.27,-55.475,-63.874,T,144
000011.SZ,W,0.25,0.1225,3.675,5.585,10.02,-26.8,-35.35,-41.625,-48.215,T,144
000011.SZ,W,0.5,9.735,18.26,24.72,47.125,-16.01,-20.875,-25.36,-29.27,T,144
000011.SZ,W,0.75,28.09,51.5475,67.1675,111.0875,-6.8625,-9.685,-11.48,-15.5975,T,144
000011.SZ,W,0.9,59.491,104.888,172.169,210.147,-2.429,-4.07,-4.434,-5.347,T,144
000012.SZ,W,0.1,0.524,1.984,2.608,3.504,-32.76,-47.942,-57.746,-67.624,B,144
000012.SZ,W,0.25,4.88,7.885,10.835,12.795,-21.53,-32.745,-38.225,-48.575,B,144
000012.SZ,W,0.5,15.18,26.16,31.94,47.6,-10.89,-16.94,-20.99,-25.51,B,144
000012.SZ,W,0.75,35.235,57.1,91.65,139.02,-1.52,-5.29,-8.16,-11.525,B,144
000012.SZ,W,0.9,69.016,116.786,177.918,313.35,0,0,0,-1.234,B,144
000012.SZ,W,0.1,0,0,0,0,-41.255,-51.525,-61.88,-71.605,T,144
000012.SZ,W,0.25,0,2.665,4.1625,5.7925,-26.145,-38.7875,-43.9975,-54.55,T,144
000012.SZ,W,0.5,8.885,17.43,22.115,39,-16.63,-22.82,-25.825,-33.63,T,144
000012.SZ,W,0.75,28.5325,48.08,69.7275,126.4875,-6.6725,-11.47,-14.86,-16.8125,T,144
000012.SZ,W,0.9,53.1,101.73,173.425,300.37,-2.215,-4.5,-5.085,-5.55,T,144
000014.SZ,W,0.1,0.428,2.016,3.004,5.576,-33.576,-45.252,-52.662,-59.766,B,144
000014.SZ,W,0.25,5.6,10.75,15.02,20.97,-22.32,-32.2,-38.07,-48.88,B,144
000014.SZ,W,0.5,18.17,32.15,43.37,57.2,-11.17,-16.82,-20.18,-26.5,B,144
000014.SZ,W,0.75,44.02,66.83,84.11,138.22,-2.36,-5.48,-7.27,-12.16,B,144
000014.SZ,W,0.9,79.964,126.332,170.83,259.312,0,0,-0.056,-1.456,B,144
000014.SZ,W,0.1,0,0,0,0.25,-37.814,-48.044,-56.458,-63.236,T,144
000014.SZ,W,0.25,0.56,4.1,6.76,12.46,-27.74,-36.57,-43.13,-53.06,T,144
000014.SZ,W,0.5,10.07,18.23,25.99,37.95,-16.75,-23.97,-28.7,-35.13,T,144
000014.SZ,W,0.75,26.4,46.41,64.89,100.44,-8.53,-13.58,-15.11,-17.08,T,144
000014.SZ,W,0.9,53.15,104.642,151.058,224.826,-3.27,-5.324,-6.916,-8.084,T,144
000016.SZ,W,0.1,0.56,1.285,2.02,3.86,-31.155,-41.565,-53.135,-64.62,B,144
000016.SZ,W,0.25,5.135,7.81,10.285,13.5775,-20.51,-31.345,-39.64,-49.98,B,144
000016.SZ,W,0.5,13.72,21.36,29.15,45.125,-10.5,-16.745,-21.195,-31.275,B,144
000016.SZ,W,0.75,30.875,56.4975,76.4475,134.755,-1.6525,-4.2975,-5.71,-11.2725,B,144
000016.SZ,W,0.9,72.135,156.105,183.49,265.975,0,0,0,0,B,144
000016.SZ,W,0.1,0,0,0,0,-35.844,-46.006,-54.024,-68.06,T,144
000016.SZ,W,0.25,0.36,2.58,4.08,7.39,-25.48,-35.58,-42.79,-52.87,T,144
000016.SZ,W,0.5,7.86,15.5,22.2,36.16,-15.07,-21.42,-26.04,-34.43,T,144
000016.SZ,W,0.75,22.55,43.71,58.74,123.1,-7.52,-10.84,-11.71,-14.51,T,144
000016.SZ,W,0.9,46.85,126.872,170.118,268.834,-2.158,-3.026,-3.726,-4.79,T,144
000017.SZ,W,0.1,1.296,2.144,3.14,3.879,-35.331,-46.838,-56.426,-66.2,B,144
000017.SZ,W,0.25,6.6125,8.5725,9.43,10.975,-22.7875,-35.51,-44.46,-54.85,B,144
000017.SZ,W,0.5,16.58,24.93,29.885,36.69,-11.725,-19.535,-26.775,-40.93,B,144
000017.SZ,W,0.75,36.91,57.4,74.9525,116.495,-2.49,-5.3575,-7.77,-10.4475,B,144
000017.SZ,W,0.9,70.313,103.051,183.499,217.598,0,0,0,-0.771,B,144
000017.SZ,W,0.1,0,0,0,0,-43.054,-51.068,-59.144,-68.2,T,144
000017.SZ,W,0.25,0,0.725,1.465,3.465,-29.82,-41.59,-49.705,-58.54,T,144
000017.SZ,W,0.5,7.94,13.93,16.51,23.03,-18.24,-25.44,-32.51,-44.03,T,144
000017.SZ,W,0.75,23.295,43.75,62.94,102.425,-10.355,-12.72,-14.46,-15.59,T,144
000017.SZ,W,0.9,58.278,100.164,171.924,188.68,-3.652,-5.752,-6.144,-6.984,T,144
000019.SZ,W,0.1,1.38,2.337,3.061,5.57,-34.102,-46.676,-58.909,-66.101,B,144
000019.SZ,W,0.25,5.885,8.7275,11.905,15.77,-22.325,-32.2425,-38.3425,-48.515,B,144
000019.SZ,W,0.5,16.525,23.09,27.45,39.225,-10.835,-16.815,-20.535,-25.025,B,144
000019.SZ,W,0.75,33.2475,56.1175,76.3625,121.39,-2.81,-6.6325,-7.9525,-8.6425,B,144
000019.SZ,W,0.9,66.893,112.374,173.347,284.592,0,0,-0.011,-0.798,B,144
000019.SZ,W,0.1,0,0,0,0,-39.628,-52.375,-59.442,-66.351,T,144
000019.SZ,W,0.25,0.7775,2.78,3.9525,9.175,-25.7,-36.75,-41.26,-51.645,T,144
000019.SZ,W,0.5,8.245,14.775,17.935,29.065,-15.905,-21.735,-23.355,-27.24,T,144
000019.SZ,W,0.75,23.08,43.11,63.1225,102.875,-8.1,-11.64,-12.5925,-13.3575,T,144
000019.SZ,W,0.9,47.404,90.184,158.915,266.648,-2.32,-4.349,-5.695,-6.692,T,144
000020.SZ,W,0.1,0.246,2.25,2.25,3.276,-31.418,-44.124,-52.58,-67.974,B,144
000020.SZ,W,0.25,5.33,8.415,10.175,13.565,-21.995,-32.485,-40.665,-50.465,B,144
000020.SZ,W,0.5,15.6,22,27.67,38.26,-12.46,-18.13,-19.92,-24.82,B,144
000020.SZ,W,0.75,34.705,51.705,74.66,127.755,-3.065,-7.97,-9.375,-10.865,B,144
000020.SZ,W,0.9,67.154,111.9,169.56,358.268,0,0,0,-0.318,B,144
000020.SZ,W,0.1,0,0,0,0,-38.716,-48.291,-57.659,-70.634,T,144
000020.SZ,W,0.25,0.09,2.8825,3.3225,4.7725,-27.79,-39.0675,-46.26,-54.965,T,144
000020.SZ,W,0.5,7.32,13.63,18.61,27.54,-17.95,-22.555,-25.855,-29.695,T,144
000020.SZ,W,0.75,22.0675,34.075,49.94,97.2775,-10.085,-13.7875,-15.355,-16.485,T,144
000020.SZ,W,0.9,56.774,81.078,118.117,290.759,-3.366,-6.665,-7.048,-7.553,T,144
000021.SZ,W,0.1,0.366,1.268,2.567,5.66,-30.211,-43.686,-55.543,-66.947,B,144
000021.SZ,W,0.25,4.57,8.485,12.415,19.42,-21.6,-31.4875,-39.2175,-51.1875,B,144
000021.SZ,W,0.5,16.395,26.645,33.995,49.12,-12.06,-18.21,-23.04,-32.595,B,144
000021.SZ,W,0.75,37.13,61.9975,98.0625,145.6925,-1.8525,-5.3075,-7.8025,-10.305,B,144
000021.SZ,W,0.9,76.112,141.36,194.726,291.063,0,0,0,0,B,144
000021.SZ,W,0.1,0,0,0,0,-32.364,-45.482,-55.646,-67.486,T,144
000021.SZ,W,0.25,0.31,2.12,3.59,9.75,-25.4,-34.31,-41.78,-50.56,T,144
000021.SZ,W,0.5,10,20.08,25.81,44.35,-15.27,-21.18,-25.81,-33.75,T,144
000021.SZ,W,0.75,28.45,60.18,94.12,142.34,-7.75,-10.09,-11.81,-14.47,T,144
000021.SZ,W,0.9,64.712,128.882,172.71,256.55,-3.122,-4.454,-5.292,-6.492,T,144
000023.SZ,W,0.1,0.673,0.962,1.023,1.452,-37.634,-52.849,-63.947,-70.291,B,144
000023.SZ,W,0.25,3.965,5.1125,5.66,7.5575,-25.5875,-37.62,-48.6825,-58.155,B,144
000023.SZ,W,0.5,13.41,18.455,24.265,33.87,-12.21,-20.4,-27.035,-37.6,B,144
000023.SZ,W,0.75,30.215,48.275,60.0925,97.61,-2.725,-6.58,-8.865,-13.11,B,144
000023.SZ,W,0.9,59.065,121.419,194.482,323.466,0,0,0,-0.144,B,144
000023.SZ,W,0.1,0,0,0,0,-40.378,-54.208,-64.412,-72.684,T,144
000023.SZ,W,0.25,0.42,2.49,2.76,3.76,-26.5,-40.58,-46.39,-60.29,T,144
000023.SZ,W,0.5,8.03,13.22,16.11,23.95,-15.67,-24.54,-30.53,-40.2,T,144
000023.SZ,W,0.75,23,37.86,51.11,95.17,-7.11,-12.23,-13.86,-16.21,T,144
000023.SZ,W,0.9,50.33,97.508,155.054,305.564,-2.126,-2.806,-3.904,-4.894,T,144
000025.SZ,W,0.1,0.49,1.697,2.517,4.803,-34.166,-44.018,-50.998,-64.548,B,144
000025.SZ,W,0.25,5.83,8.745,10.2625,14.51,-23.645,-32.305,-39.32,-47.5575,B,144
000025.SZ,W,0.5,15.55,20.295,28.65,39.675,-12.385,-20.865,-24.9,-30.06,B,144
000025.SZ,W,0.75,34.355,48.6525,82.5725,110.9325,-1.74,-7.32,-10.975,-15.1,B,144
000025.SZ,W,0.9,74.499,124.735,183.141,381.854,0,0,0,0,B,144
000025.SZ,W,0.1,0,0,0,0,-40.135,-50.229,-53.736,-65.069,T,144
000025.SZ,W,0.25,0.215,2.1925,3.5075,6.15,-29.595,-35.635,-41.6125,-50.4275,T,144
000025.SZ,W,0.5,8.8,13.46,19.865,33.33,-17.61,-24.95,-28.745,-33.46,T,144
000025.SZ,W,0.75,25.32,42.4,72.79,102.25,-8.6025,-14.9575,-17.1925,-19.1325,T,144
000025.SZ,W,0.9,60.567,113.931,181.587,327.106,-2.615,-5.238,-5.429,-6.191,T,144
000026.SZ,W,0.1,0.688,2.411,2.522,3.285,-30.994,-44.831,-55.864,-67.314,B,144
000026.SZ,W,0.25,4.75,7.595,8.13,12.8,-20.2625,-29.845,-37.2025,-45.8,B,144
000026.SZ,W,0.5,16.69,26.525,34.71,45.07,-7.91,-14.59,-18.395,-26.145,B,144
000026.SZ,W,0.75,35.01,56.1525,86.665,135.62,-0.6175,-3.2875,-3.7625,-5.9675,B,144
000026.SZ,W,0.9,61.277,107.025,154.864,241.846,0,0,0,0,B,144
000026.SZ,W,0.1,0,0,0,0,-36.69,-47.836,-56.497,-69.217,T,144
000026.SZ,W,0.25,0.565,2.7575,3.43,6.2625,-25.7275,-33.64,-40.6875,-48.805,T,144
000026.SZ,W,0.5,9.31,22.185,30.14,38.49,-12.76,-19.86,-24.755,-28.17,T,144
